Region,WRI,Exposure,Vulnerability,Susceptibility,Lack of Coping Capabilities,Lack of Adaptive Capacities,Year,Exposure Category,WRI Category,Vulnerability Category,Susceptibility Category
Vanuatu,56.71,99.88,56.78,35.32,84.36,50.66,2019,Very High,Very High,High,High
Antigua und Barbuda,30.8,69.95,44.03,23.38,76.65,32.05,2019,Very High,Very High,Medium,Medium
Tonga,29.39,61.41,47.86,28.19,79.92,35.47,2019,Very High,Very High,Medium,Medium
Salomonen,29.36,48.31,60.77,46.37,80.95,55,2019,Very High,Very High,High,Very High
Guyana,22.87,44.98,50.84,26.41,79.68,46.44,2019,Very High,Very High,High,Medium
Papua-Neuguinea,22.18,32.54,68.18,55.45,86.21,62.88,2019,Very High,Very High,Very High,Very High
Brunei Darussalam,21.68,57.62,37.62,15.26,67.14,30.45,2019,Very High,Very High,Low,Very Low
Guatemala,20.69,38.56,53.65,32.19,83.96,44.8,2019,Very High,Very High,High,High
Philippinen,20.69,41.93,49.34,28.86,80.98,38.17,2019,Very High,Very High,High,High
Bangladesch,18.78,32.48,57.83,32.93,86.13,54.44,2019,Very High,Very High,High,High
Kap Verde,18.02,38.26,47.1,31.13,67.63,42.54,2019,Very High,Very High,Medium,High
Fidschi,17.83,38.43,46.41,21.54,78.76,38.93,2019,Very High,Very High,Medium,Medium
Costa Rica,17.37,44.92,38.67,19.15,68.84,28.03,2019,Very High,Very High,Low,Low
Dschibuti,16.46,27.04,60.87,39.36,84.39,58.87,2019,Very High,Very High,High,High
Timor-Leste,16.39,27.92,58.71,46.43,78.84,50.85,2019,Very High,Very High,High,Very High
Haiti,16.34,24.18,67.56,50.37,90.28,62.03,2019,Very High,Very High,Very High,Very High
Kambodscha,15.13,26.82,56.42,40.89,78.92,49.45,2019,Very High,Very High,High,High
El Salvador,15.11,31.87,47.43,24.44,77.65,40.19,2019,Very High,Very High,Medium,Medium
Kiribati,14.64,25.52,57.37,40.53,82.56,49.02,2019,Very High,Very High,High,High
Komoren,14.63,23.54,62.12,44.85,83.84,57.67,2019,Very High,Very High,Very High,High
Nicaragua,13.78,25.95,53.11,30.35,82.88,46.11,2019,Very High,Very High,High,High
Niger,13.77,19.3,71.34,59.92,87.51,66.6,2019,High,Very High,Very High,Very High
